"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10"
0,0,0.00714285714285714,0,0,0.1,0.235714285714286,0.0142857142857143,0.642857142857143,0
0.35,0,0,0,0,0.00625,0.58125,0,0,0.0625
0.288235294117647,0.1,0.176470588235294,0.00588235294117647,0,0.0588235294117647,0.370588235294118,0,0,0
0,0.0166666666666667,0,0.00555555555555556,0,0.0166666666666667,0.611111111111111,0,0.35,0
0,0,0,0.242857142857143,0.0285714285714286,0,0.728571428571429,0,0,0
0,0,0,0,0.271428571428571,0,0.728571428571429,0,0,0
0.05625,0.15,0,0.2375,0,0.01875,0.44375,0.00625,0.0875,0
0,0.19375,0.025,0.2875,0,0,0.48125,0,0.0125,0
0.0333333333333333,0,0,0.0166666666666667,0,0.0166666666666667,0,0.0333333333333333,0.9,0
0.438461538461538,0.123076923076923,0.0615384615384615,0.0307692307692308,0.184615384615385,0.0538461538461538,0,0.107692307692308,0,0
0.333333333333333,0,0.0333333333333333,0,0,0,0.633333333333333,0,0,0
0.0111111111111111,0.0222222222222222,0.0333333333333333,0.0555555555555556,0,0,0.233333333333333,0.00555555555555556,0.638888888888889,0
0,0.419047619047619,0.0238095238095238,0,0.30952380952381,0,0.00952380952380952,0.0142857142857143,0.223809523809524,0
0,0.318181818181818,0.290909090909091,0,0.245454545454545,0,0.00909090909090909,0.136363636363636,0,0
0,0,0.02,0.16,0,0,0,0,0.753333333333333,0.0666666666666667
0,0,0.34,0,0,0,0.332,0.128,0.192,0.008
0.1,0,0,0.02,0,0,0.28,0,0.22,0.38
0,0,0,0,0,0,1,0,0,0
0,0,0.373913043478261,0,0,0,0,0,0,0.626086956521739
0,0,0.457142857142857,0.328571428571429,0.00714285714285714,0.2,0,0,0.00714285714285714,0
0,0,0.275,0.241666666666667,0.0166666666666667,0,0.025,0,0.441666666666667,0
0,0,0,0,0,0.366666666666667,0.633333333333333,0,0,0
0.0916666666666667,0.741666666666667,0,0,0.166666666666667,0,0,0,0,0
0.0166666666666667,0.266666666666667,0.0166666666666667,0,0,0,0.1,0,0,0.6
0.0916666666666667,0.691666666666667,0,0,0.116666666666667,0,0.025,0,0.075,0
0,0,0.0111111111111111,0,0,0,0.877777777777778,0,0,0.111111111111111
0.0111111111111111,0.333333333333333,0.122222222222222,0,0.0444444444444444,0.188888888888889,0,0.0777777777777778,0.222222222222222,0
0,0,0,0.195833333333333,0,0,0.454166666666667,0,0,0.35
0.0307692307692308,0.0230769230769231,0,0,0,0,0,0.238461538461538,0,0.707692307692308
0,0,0,0,0,0,0,1,0,0
0.0130434782608696,0,0.104347826086957,0,0.308695652173913,0,0.573913043478261,0,0,0
0,0,0.07,0.055,0,0.31,0.135,0.05,0.38,0
0.661538461538462,0,0,0,0.338461538461538,0,0,0,0,0
0,0.0413793103448276,0.682758620689655,0.162068965517241,0,0.0172413793103448,0.0586206896551724,0,0.0172413793103448,0.0206896551724138
0,0.0304347826086957,0.173913043478261,0.0130434782608696,0.330434782608696,0.0391304347826087,0.252173913043478,0.143478260869565,0.0173913043478261,0
0.0111111111111111,0.062962962962963,0.362962962962963,0,0.4,0,0,0.0148148148148148,0.148148148148148,0
0.0375,0.4875,0.45,0,0,0,0,0.025,0,0
0.436363636363636,0,0.509090909090909,0.0363636363636364,0,0,0,0,0.0181818181818182,0
0,0,0,0.857142857142857,0,0,0,0,0.142857142857143,0
0.00666666666666667,0.0133333333333333,0.16,0.593333333333333,0.0866666666666667,0.0333333333333333,0.00666666666666667,0.1,0,0
0,0.766666666666667,0,0,0,0,0,0,0.222222222222222,0.0111111111111111
0.98,0,0,0,0,0,0,0,0,0.02
0.01875,0,0.0125,0.46875,0,0,0.36875,0,0.125,0.00625
